,Name,Location,Job Title
422,InMotion Software,"Austin, Texas","Mid-Level Web Developer (Javascript, React, Node, AWS, RESTful APIs)"
423,s•com,"Houston, Texas",.Net Developer
424,Consultis Information Technology,"Houston, Texas",Lead PeopleSoft Developer
425,Daikin North America,"Spring, Texas",Sr. Software Developer
426,"DeVilliers Technology Solutions, LLC","Plano, Texas",.NET Developer
427,Poetic Systems,"Houston, Texas",Web Developer (junior to mid-level)
428,"Paymetric, Inc.","Austin, Texas",SOFTWARE DEVELOPER C#/C++ (CORE)
429,Pedigo Staffing Services,"Austin, Texas",Java Programmer/Developer 2
430,"Technology Navigators, Inc.","Austin, Texas","Software Developer - Mobile, Android, Java"
431,"EPE Innovations LLC., Dallas, Texas","Garland, Texas",Sr. QlikView Developer
432,Callaway Golf,"Austin, Texas",Front End Developer - Interim
433,Purview Infotech LLC,"Dallas, Texas",Junior Hadoop Developer
434,TicketCity,"Austin, Texas",Full Stack Developer
435,Two95 International Inc.,"Dallas, Texas","#Front End Developer (Angular or Backbone.JS) - Dallas, TX"
436,Match.com,"Garland, Texas",React Developer (Temp - 9 Month Engagement)
437,Walker Elliott,"Spring, Texas",.NET Developer
438,Wipro,"Austin, Texas",Android Developer
439,The Creative Group,"Dallas, Texas",Front End Developer
440,InMotion Software,"Austin, Texas","Mid-Level Web Developer (Javascript, React, Node, AWS, RESTful APIs)"
441,s•com,"Houston, Texas",.Net Developer
442,Consultis Information Technology,"Houston, Texas",Lead PeopleSoft Developer
443,"Delphi-US, LLC","Houston, Texas",node.JS Developer
444,The Marsden Group,"Houston, Texas",Visual Developer
445,Zigatta,"Dallas, Texas",Lead Java Developer
446,Maxsys Solutions,"Garland, Texas",Sr .Net Developer
447,Continental Technology Solutions,"Dallas, Texas",Datastage Developer
448,Atavas,"Austin, Texas",UI Developer
449,Chander Dhall,"Houston, Texas",".NET developer with Angularjs in Houston, TX"
450,TicketCity,"Austin, Texas",Full Stack Developer
451,Two95 International Inc.,"Dallas, Texas","#Front End Developer (Angular or Backbone.JS) - Dallas, TX"
452,Match.com,"Garland, Texas",React Developer (Temp - 9 Month Engagement)
453,Walker Elliott,"Spring, Texas",.NET Developer
454,Wipro,"Austin, Texas",Android Developer
455,The Creative Group,"Dallas, Texas",Front End Developer
456,InMotion Software,"Austin, Texas","Mid-Level Web Developer (Javascript, React, Node, AWS, RESTful APIs)"
457,s•com,"Houston, Texas",.Net Developer
458,Consultis Information Technology,"Houston, Texas",Lead PeopleSoft Developer
459,"Delphi-US, LLC","Houston, Texas",node.JS Developer
460,The Marsden Group,"Houston, Texas",Visual Developer
461,Zigatta,"Dallas, Texas",Lead Java Developer
462,Maxsys Solutions,"Garland, Texas",Sr .Net Developer
463,Continental Technology Solutions,"Dallas, Texas",Datastage Developer
464,Atavas,"Austin, Texas",UI Developer
465,Chander Dhall,"Houston, Texas",".NET developer with Angularjs in Houston, TX"
466,Experis,"Southlake, Texas",Front End Developer
467,"HUNTER Technical Resources, LLC","Irving, Texas",iOS Developer
468,"Data Dynamics, Inc.","Houston, Texas",Mid-Level Software Engineer
469,Stefanini,"Rochelle, Texas",WordPress Developer
470,Capgemini,"Houston, Texas",Programmer/Developer Lead - NetSuite Developer
471,AG Technologies,"Dallas, Texas",Software Engineer Position
472,Genuent,"Austin, Texas",Full Stack Web Developer
473,OutMatch,"Dallas, Texas",.NET Developer - Full Stack
474,Hiring Ideas,"Plano, Texas",SQL Server Developer
475,Atavas,"Austin, Texas",UI Developer
476,Chander Dhall,"Houston, Texas",".NET developer with Angularjs in Houston, TX"
477,Experis,"Southlake, Texas",Front End Developer
478,"HUNTER Technical Resources, LLC","Irving, Texas",iOS Developer
479,"Data Dynamics, Inc.","Houston, Texas",Mid-Level Software Engineer
480,Stefanini,"Rochelle, Texas",WordPress Developer
481,Capgemini,"Houston, Texas",Programmer/Developer Lead - NetSuite Developer
482,AG Technologies,"Dallas, Texas",Software Engineer Position
483,Genuent,"Austin, Texas",Full Stack Web Developer
484,OutMatch,"Dallas, Texas",.NET Developer - Full Stack
485,Hiring Ideas,"Plano, Texas",SQL Server Developer
486,Sonsoft Inc,"Austin, Texas",Java/J2EE Developer
487,Riccione Resources,"Garland, Texas","Web Developer - UX , Javascript, CSS"
488,Frost Bank,"San Antonio, Texas",Software Developer - Application Integration Support
489,Broadaxis,"Dallas, Texas",Java Developer
490,City of Dallas,"Dallas, Texas",Salesforce Developer (Web Developer)
491,National Oilwell Varco,"Houston, Texas",Senior Front End Developer
492,ThoughtWorks - College,"Dallas, Texas",Entry Level Developer
493,ComCept,"Rockwall, Texas",UI/UX Web Developer
494,"LEAM Drilling Systems, LLC","Conroe, Texas",Ruby on Rails Developer
495,Koddi,"Fort Worth, Texas",Junior Developer
496,shrikon,"Fort Worth, Texas",Java Developer (Full time) - US Citizens ONLY
497,VirtusaPolaris,"Dallas, Texas",AEM(Adobe CQ) Sr. Developer
498,Triquest Business Services,"San Antonio, Texas",Systems Software Developer.
499,Pariveda Solutions,"Houston, Texas",Lead Developer
500,Hiring Ideas,"Plano, Texas",SQL Server Developer
501,Sonsoft Inc,"Austin, Texas",Java/J2EE Developer
502,Riccione Resources,"Garland, Texas","Web Developer - UX , Javascript, CSS"
503,Frost Bank,"San Antonio, Texas",Software Developer - Application Integration Support
504,Broadaxis,"Dallas, Texas",Java Developer
505,City of Dallas,"Dallas, Texas",Salesforce Developer (Web Developer)
506,National Oilwell Varco,"Houston, Texas",Senior Front End Developer
507,ThoughtWorks - College,"Dallas, Texas",Entry Level Developer
508,ComCept,"Rockwall, Texas",UI/UX Web Developer
509,"LEAM Drilling Systems, LLC","Conroe, Texas",Ruby on Rails Developer
510,Koddi,"Fort Worth, Texas",Junior Developer
511,shrikon,"Fort Worth, Texas",Java Developer (Full time) - US Citizens ONLY
512,VirtusaPolaris,"Dallas, Texas",AEM(Adobe CQ) Sr. Developer
513,Triquest Business Services,"San Antonio, Texas",Systems Software Developer.
514,Pariveda Solutions,"Houston, Texas",Lead Developer
515,Infor,"Austin, Texas",Principle Java Developer
516,IntelliSoft Technologies,"Houston, Texas",SAP MM/Procurement/SRM Developer
517,Insubuy,"Plano, Texas",Senior Java/J2EE Developer
518,EM Resource Group,"Plano, Texas",Senior Developer
519,MATRIX Resources,"Addison, Texas",Senior Java Developer
520,placingIT,"Austin, Texas",Developer II - 649
521,Hewlett Packard Enterprise Company,"Plano, Texas",Linux System Software Developer
522,CDI Corporation,"San Antonio, Texas",Application Developer(Contact Center)/PGJ
523,Luxoft,"Houston, Texas",C#/WPF Developer
524,PARM Consultants,"Dallas, Texas",Sr. Java Angular JS Developer with Liferay
525,National Oilwell Varco,"Houston, Texas",Senior Front End Developer
526,ThoughtWorks - College,"Dallas, Texas",Entry Level Developer
527,ComCept,"Rockwall, Texas",UI/UX Web Developer
528,"LEAM Drilling Systems, LLC","Conroe, Texas",Ruby on Rails Developer
529,Koddi,"Fort Worth, Texas",Junior Developer
530,shrikon,"Fort Worth, Texas",Java Developer (Full time) - US Citizens ONLY
531,VirtusaPolaris,"Dallas, Texas",AEM(Adobe CQ) Sr. Developer
532,Triquest Business Services,"San Antonio, Texas",Systems Software Developer.
533,Pariveda Solutions,"Houston, Texas",Lead Developer
534,Infor,"Austin, Texas",Principle Java Developer
535,IntelliSoft Technologies,"Houston, Texas",SAP MM/Procurement/SRM Developer
536,Insubuy,"Plano, Texas",Senior Java/J2EE Developer
537,EM Resource Group,"Plano, Texas",Senior Developer
538,MATRIX Resources,"Addison, Texas",Senior Java Developer
539,placingIT,"Austin, Texas",Developer II - 649
540,Hewlett Packard Enterprise Company,"Plano, Texas",Linux System Software Developer
541,CDI Corporation,"San Antonio, Texas",Application Developer(Contact Center)/PGJ
542,Luxoft,"Houston, Texas",C#/WPF Developer
543,PARM Consultants,"Dallas, Texas",Sr. Java Angular JS Developer with Liferay
544,Shea Writing and Training Solutions,"Houston, Texas",Instructional Designer/eLearning Developer
545,24 Seven Inc.,"Austin, Texas","Technical Developer, Home"
546,Select Interactive,"Fort Worth, Texas",Web Developer - Front End
547,Stellargy Services LLC,"Austin, Texas",Jr. Sharepoint Developer
548,Jacobs,"Houston, Texas",Application Developer
549,Advantage Resourcing,"Dallas, Texas",Sr. IOS Software Developer
550,IntelliSoft Technologies,"Houston, Texas",SAP MM/Procurement/SRM Developer
551,Insubuy,"Plano, Texas",Senior Java/J2EE Developer
552,EM Resource Group,"Plano, Texas",Senior Developer
553,MATRIX Resources,"Addison, Texas",Senior Java Developer
554,placingIT,"Austin, Texas",Developer II - 649
555,Hewlett Packard Enterprise Company,"Plano, Texas",Linux System Software Developer
556,CDI Corporation,"San Antonio, Texas",Application Developer(Contact Center)/PGJ
557,Luxoft,"Houston, Texas",C#/WPF Developer
558,PARM Consultants,"Dallas, Texas",Sr. Java Angular JS Developer with Liferay
559,Shea Writing and Training Solutions,"Houston, Texas",Instructional Designer/eLearning Developer
560,24 Seven Inc.,"Austin, Texas","Technical Developer, Home"
561,Select Interactive,"Fort Worth, Texas",Web Developer - Front End
562,Stellargy Services LLC,"Austin, Texas",Jr. Sharepoint Developer
563,Jacobs,"Houston, Texas",Application Developer
564,Advantage Resourcing,"Dallas, Texas",Sr. IOS Software Developer
565,"Fulcrum Biometrics, LLC.","San Antonio, Texas",Software Architect / Developer - Senior
566,"Mercuria Energy America, Inc","Houston, Texas",Operations Developer
567,Computer Futures,"Houston, Texas",Tableau Developer
568,Global Healthcare Alliance,"Houston, Texas",Senior Developer
569,Lanyon,"Dallas, Texas",Entry-level .NET Developer
570,Fiserv,"Austin, Texas",.Net Developer
571,HCL Technologies,"Rochelle, Texas",Senior Developer
572,Robert Half Technology,"Dallas, Texas",Salesforce Developer/.Net
573,Avanade,"Austin, Texas",Entry Level Digital Developer EG
574,Trend Micro,"Austin, Texas",Data Plane Developer
575,Luxoft,"Houston, Texas",C#/WPF Developer
576,PARM Consultants,"Dallas, Texas",Sr. Java Angular JS Developer with Liferay
577,Shea Writing and Training Solutions,"Houston, Texas",Instructional Designer/eLearning Developer
578,24 Seven Inc.,"Austin, Texas","Technical Developer, Home"
579,Select Interactive,"Fort Worth, Texas",Web Developer - Front End
580,Stellargy Services LLC,"Austin, Texas",Jr. Sharepoint Developer
581,Jacobs,"Houston, Texas",Application Developer
582,Advantage Resourcing,"Dallas, Texas",Sr. IOS Software Developer
583,"Fulcrum Biometrics, LLC.","San Antonio, Texas",Software Architect / Developer - Senior
584,"Mercuria Energy America, Inc","Houston, Texas",Developer
585,Computer Futures,"Houston, Texas",Tableau Developer
586,Global Healthcare Alliance,"Houston, Texas",Senior Developer
587,Lanyon,"Dallas, Texas",Entry-level .NET Developer
588,Fiserv,"Austin, Texas",.Net Developer
589,HCL Technologies,"Rochelle, Texas",Senior Developer
590,Robert Half Technology,"Dallas, Texas",Salesforce Developer/.Net
591,Avanade,"Austin, Texas",Entry Level Digital Developer EG
592,Trend Micro,"Austin, Texas",Data Plane Developer
593,Bluewater Learning,"Dallas, Texas",eLearning Instructional Designer and Course Developer - Contract
594,Paladin,"Austin, Texas",SR. WEB DEVELOPER (Agency)
595,Verizon,"Irving, Texas",Web Application Developer
596,Lifeblue,"Garland, Texas",Senior Interactive Front End Developer
597,Federal Reserve Bank of Dallas,"Dallas, Texas",Data Integration Developer (entry level)
598,Brightwing,"Garland, Texas",Lead Salesforce Developer
599,"KellyMitchell Group, Inc","Houston, Texas",Developer-Sr
600,Global Healthcare Alliance,"Houston, Texas",Senior Developer
601,Lanyon,"Dallas, Texas",Entry-level .NET Developer
602,Fiserv,"Austin, Texas",.Net Developer
603,HCL Technologies,"Rochelle, Texas",Senior Developer
604,Robert Half Technology,"Dallas, Texas",Salesforce Developer/.Net
605,Avanade,"Austin, Texas",Entry Level Digital Developer EG
606,Trend Micro,"Austin, Texas",Data Plane Developer
607,Bluewater Learning,"Dallas, Texas",eLearning Instructional Designer and Course Developer - Contract
608,Paladin,"Austin, Texas",SR. WEB DEVELOPER (Agency)
609,Verizon,"Irving, Texas",Web Application Developer
610,Lifeblue,"Garland, Texas",Senior Interactive Front End Developer
611,Federal Reserve Bank of Dallas,"Dallas, Texas",Data Integration Developer (entry level)
612,Brightwing,"Garland, Texas",Lead Salesforce Developer
613,"KellyMitchell Group, Inc","Houston, Texas",Developer-Sr
614,IBM,"Austin, Texas","Engineer/Developer, Operational Decision Management - IBM Consulting"
615,Trinity Industries,"Garland, Texas",Web Applications Developer
616,Neiman Marcus,"Irving, Texas",Senior iOS Developer
617,Spectraforce Technologies,"Irving, Texas",J2EE Developer
618,Halliburton,"Houston, Texas",Sr. IT Applications Analyst/Developer
619,GTS Technology Solutions,"Austin, Texas",Developer Analyst
620,CGI,"Dallas, Texas",Java Developer with Leo
621,Atlassian,"Austin, Texas",Senior Platform Developer
622,Kelly Services,"Frisco, Texas",Salesforce Developer -$45-$55 Pay Rate for 6 months to Direct Hire Contract
623,Experienced Hire- US,"Austin, Texas",HPC Compiler Developer / SW Engineer
624,Diverse Lynx LLC,"Irving, Texas",AMX BPM Developer
625,Spectraforce Technologies,"Irving, Texas",J2EE Developer
626,Halliburton,"Houston, Texas",Sr. IT Applications Analyst/Developer
627,GTS Technology Solutions,"Austin, Texas",Developer Analyst
628,CGI,"Dallas, Texas",Java Developer with Leo
629,Atlassian,"Austin, Texas",Senior Platform Developer
630,Kelly Services,"Frisco, Texas",Salesforce Developer -$45-$55 Pay Rate for 6 months to Direct Hire Contract
631,Experienced Hire- US,"Austin, Texas",HPC Compiler Developer / SW Engineer
632,Diverse Lynx LLC,"Irving, Texas",AMX BPM Developer
633,"RJ Byrd Search Group, the #7 search firm in North Texas","Garland, Texas",Node.js Developer
634,Rackspace,"San Antonio, Texas",Full Stack Developer
635,"ObjectWin Technology, Inc.","Roanoke, Texas",Senior SOA (Java/J2EE) Developer
636,Workbridge Associates,"Dallas, Texas",Senior .Net Developer
637,Texas A&M University,"College Station, Texas","Senior Software Applications Developer - College Station, TX"
638,"Dealertrack, Inc.","Dallas, Texas",Sr Software Developer
639,TeamSoft Inc.,"Austin, Texas",Web Content Management System Developer
640,Informatics Holdings,"Plano, Texas",Senior Software Developer
641,Tata Consultancy Services,"Irving, Texas",HTML5 UI Developer(5+ Yrs exp)
642,Booz Allen Hamilton,"San Antonio, Texas",Technical Courseware Developer
643,Dell,"Austin, Texas","Desktop Applications Developer, .NET, CS17"
644,Mindlance,"Houston, Texas",Developer - Sr
645,TD Ameritrade,"Fort Worth, Texas",Senior Software Developer
646,Hydrogen Group,"Houston, Texas",Lead Salesforce Developer
647,ZTech Solutions,"Addison, Texas",Junior .NET Developer
648,GM Financial,"Arlington, Texas",Enterprise Software Developer - SOA
649,UnitedHealth Group,"San Antonio, Texas","OnBase Workflow Developer/Analyst - San Antonio, TX or Telecommute"
650,Pariveda Solutions,"Dallas, Texas",Application Developer
651,MATRIX Resources,"Plano, Texas",Jr. to Mid-level Java Security Developer
652,IntelliSoft Technologies,"Irving, Texas",Full time C# ASP .Net Developer - Multiple locations in TX need locals
653,CDI Corporation,"Plano, Texas",OSS/BSS SW Developer
654,Lanyon,"Dallas, Texas",Intermediate .Net Developer
655,Robert Half Technology,"Dallas, Texas",Sr. Developer (ASP.NET MVC3 MVVM) Plano
656,Frost Bank,"San Antonio, Texas",Software Developer - Debit Card Application Support
657,EM Resource Group,"Plano, Texas",Web Application Developer
658,Capgemini,"Houston, Texas",HOUSTON Campus Recruiting 2017 - SAP - Programmer/Developer
659,Jacobs,"Huntsville, Texas",Instructor/Training Developer
660,IBM,"Austin, Texas",Watson Senior Front End Developer
661,AG Technologies,"Dallas, Texas",Java Developer
662,Rackspace,"San Antonio, Texas",Front End Developer
663,Maxsys Solutions,"Garland, Texas",EDW Developer - Modeler/TSQL - Contract to Hire - W2
664,Texas A&M University,"College Station, Texas","Lead Software Applications Developer - College Station, TX"
665,Workbridge Associates,"Dallas, Texas",Node.js Developer- Senior
666,Genuent,"Houston, Texas",Mid Level Web Services Developer
667,"ObjectWin Technology, Inc.","Houston, Texas",SAP ABAP Developer
668,Computer Futures,"Austin, Texas",PL/SQL Developer
669,Riccione Resources,"Garland, Texas","Web Developer - Frontend, Javascript, AngularJS"
670,shrikon,"Irving, Texas",No SQL Developer
671,R3PI,"Roanoke, Texas","Lead Middleware Developer (Node.js, Java)"
672,Capital One,"Plano, Texas",Full Stack Software Developer (Angular)
673,TriNet,"Austin, Texas","Senior Front-End Developer, EIS"
674,Verizon,"Irving, Texas",Senior Full Stack Developer
675,DISYS,"Dallas, Texas",Sr .NET Developer
676,Baylor College of Medicine,"Houston, Texas",Senior Web Application Developer
677,TMX Finance,"Garland, Texas",Business Intelligence Developer
678,Nigel Frank International,"Austin, Texas","Back End Sitecore Developer Role- Austin, Texas"
679,projekt202,"Austin, Texas",Sr. Front End Developer
680,Playstudios Inc.,"Austin, Texas",SQL Developer
681,McCoy Corporation,"Austin, Texas",Software Developer
682,Deloitte,"Austin, Texas",Workforce Management Analyst – Solution Developer -USDC
683,CIBER,"Irving, Texas",Data Transformation Developer
684,Amdocs,"Richardson, Texas",Weblogic Administrator/ Developer
685,Charles Schwab,"Austin, Texas",Sr. C#.NET Developer
686,"Intersys Consulting, Inc.","Austin, Texas",PHP Web Developer
687,Apex Capital Corp,"Garland, Texas",Senior Software Engineer
688,Inmar,"Fort Worth, Texas",SQL Database Developer
689,Volt Workforce Solutions,"Irving, Texas",Senior .NET Developer - Direct
690,GTN Technical Staffing,"Addison, Texas",EL - 11401 PHP Developer
691,USM,"Richardson, Texas",Frontend Developer (Angular JS & Node JS) Only Locals Face to Face needed.
692,"Jack Henry & Associates, Inc","Austin, Texas",Software Developer (HTML5 /JavaScript / CSS3)
693,Sunnova Energy Corp.,"Houston, Texas",Full-stack Developer
694,Odyssey Information Services,"Houston, Texas",iOS Developer
695,KPMG US,"Dallas, Texas",Senior .Net Developer
696,"D.R. Horton, Inc.","Fort Worth, Texas",Application Developer
697,Spindle 360,"Austin, Texas",Senior Magento PHP Developer
698,Experian Limited,"Allen, Texas",Senior Salesforce Developer (Service Cloud)
699,Frontier Communications,"Richardson, Texas",PRINCIPAL SITECORE/.NET DEVELOPER
700,Frontier Communications,"Richardson, Texas",PRINCIPAL SITECORE/.NET DEVELOPER
701,eTouch Systems,"Houston, Texas",Senior Magento Developer
702,L-3 Communications,"Waco, Texas",Software Developer Intern
703,Solarwinds Inc.,"Austin, Texas",Senior Developer - Automation
704,Selby Jennings,"Houston, Texas",C++/Python Trading Platform Developer-Texas
705,veriten,"Dallas, Texas",responsive web developer - lead
706,Allied Electronics,"Fort Worth, Texas",Content Applications Developer
707,"DIVERSANT, LLC","Irving, Texas",.NET/ C# Developer
708,Everi Holdings Inc.,"Austin, Texas","SQL Database Developer (Austin, TX)"
709,CyberCoders,"Fort Worth, Texas",".NET Developer - Web Apps Engineer, .NET, Excellent Salary!"
710,Q2ebanking,"Austin, Texas",Professional Services Developer
711,Cognizant,"Houston, Texas",Teamcenter Developer
712,Poetic Systems,"Houston, Texas",Drupal Support Developer
713,"Technology Navigators, Inc.","Austin, Texas","Front End Software Developer - HTML, CSS, JavaScript, Frameworks"
714,"EPE Innovations LLC., Dallas, Texas","Garland, Texas",Senior .NET Software Developer
715,Pedigo Staffing Services,"Austin, Texas",FTP Programmer/Developer
716,Wipro,"Austin, Texas",Mobile Application Developer (Android)
717,Wipro Technologies,"Austin, Texas",Java Developer
718,The Creative Group,"Austin, Texas",Web Developer
719,Continental Technology Solutions,"Plano, Texas",Teradata Developer
720,Maxsys Solutions,"Garland, Texas",Sr. Full-Stack .NET Developer 50% work from Home
721,Chander Dhall,"Austin, Texas",".NET developer with Angularjs in Austin, TX"
722,Atavas,"Houston, Texas",Systems Software Developer
723,Zigatta,"Irving, Texas",iOS Developer with Swift
724,"HUNTER Technical Resources, LLC","Irving, Texas",Front End Developer
725,Sonsoft Inc,"Austin, Texas",Java Developer
726,Hiring Ideas,"Dallas, Texas",Senior Siebel Developer/Technical Lead
727,ThoughtWorks,"Dallas, Texas",Lead Software Developer
728,ComCept,"Rockwall, Texas",Streaming Data Developer
729,Triquest Business Services,"San Antonio, Texas",Senior .NET Developer.
730,Pariveda Solutions,"Dallas, Texas",.NET Developer II
731,MATRIX Resources,"Plano, Texas",Jr. to Mid-level Java Security Developer
732,IntelliSoft Technologies,"Irving, Texas",Full time C# ASP .Net Developer - Multiple locations in TX need locals
733,CDI Corporation,"Plano, Texas",OSS/BSS SW Developer
734,Lanyon,"Dallas, Texas",Intermediate .Net Developer
735,Robert Half Technology,"Dallas, Texas",Sr. Developer (ASP.NET MVC3 MVVM) Plano
736,Frost Bank,"San Antonio, Texas",Software Developer - Debit Card Application Support
737,EM Resource Group,"Plano, Texas",Web Application Developer
738,Capgemini,"Houston, Texas",HOUSTON Campus Recruiting 2017 - SAP - Programmer/Developer
739,Jacobs,"Houston, Texas",Software Developer - Spacecraft Trajectory Design
740,Verizon,"Irving, Texas",Senior Java Developer
741,IBM,"Austin, Texas",Watson Senior Front End Developer
742,AG Technologies,"Dallas, Texas",Java Developer
743,Rackspace,"San Antonio, Texas",Front End Developer
744,Workbridge Associates,"Dallas, Texas",MEAN Stack Developer
745,Texas A&M University,"College Station, Texas","Lead Software Applications Developer - College Station, TX"
746,Genuent,"Houston, Texas",Mid Level Web Services Developer
747,"RJ Byrd Search Group, the #7 search firm in North Texas","Garland, Texas",Senior Software Developer
748,"ObjectWin Technology, Inc.","Houston, Texas",SAP ABAP Developer
749,shrikon,"Irving, Texas",Kafka Developer (Streaming)
750,"LEAM Drilling Systems, LLC","Conroe, Texas",Embedded Software Developer - TI Processors
751,Trinity Industries,"Dallas, Texas",Application Developer-AutoDesk
752,Computer Futures,"Austin, Texas",PL/SQL Developer
753,Riccione Resources,"Garland, Texas","Web Developer - Frontend, Javascript, AngularJS"
754,Company Confidential,"Dallas, Texas",SharePoint Developer
755,"RealPage, Inc.","Richardson, Texas",Salesforce.com Developer - SFDC
756,R3PI,"Roanoke, Texas",Senior 3D Developer (Unity)
757,Tata Consultancy Services,"Plano, Texas",Android Developer
758,Capital One,"Plano, Texas",Full Stack Software Developer (Angular)
759,Spectraforce Technologies,"Irving, Texas",.NET Developer
760,American Airlines,"Fort Worth, Texas",Senior Business Intelligence Developer
761,TriNet,"Austin, Texas","Senior Front-End Developer, EIS"
762,Luxoft North America,"Houston, Texas","Senior Developer (C++, Houston)"
763,CGI,"Belton, Texas",FSG - Senior Java Developer
764,Deloitte,"Dallas, Texas",eCommece Hybris Developer/Consultant
765,USM,"Irving, Texas","C/C++ Developer (POS Point of Sales exp) at Irving, TX Only Locals"
766,Bank of America,"Addison, Texas",Information Security Communications Developer
767,The HT Group,"Austin, Texas",Python Developer
768,Kelly Services,"College Station, Texas",Human Resource - Trainer/Developer
769,JPMorgan Chase & Co.,"Houston, Texas",Java / Python Developer
770,KPMG US,"Dallas, Texas",.Net Developer
771,Odyssey Information Services,"Dallas, Texas",ServiceNow Developer
772,Nigel Frank International,"Houston, Texas",Dynamics NAV Developer | Houston | $90K
773,Mindlance,"Houston, Texas",Lead Developer - Sr
774,Camden Kelly Corporation,"Plano, Texas",Sr. ASP.Net MVC Developer – Up-to-date techies collaborate here
775,Hewlett Packard Enterprise Company,"El Paso, Texas",Senior Service Information Developer
776,Booz Allen Hamilton,"Austin, Texas",University - Software Developer
777,Dell,"Austin, Texas",Full Stack Application Developer
778,UnitedHealth Group,"Plano, Texas","Web Application Developer - Plano, TX"
779,Sabre Corporation,"Southlake, Texas",AIM Team - Software Developer-Summer 2017 Intern
780,"KellyMitchell Group, Inc","Irving, Texas",Sr. Software Developer
781,Charles Schwab,"Austin, Texas",Sr. Staff .Net Developer - Tech Lead
782,"Value Global, LLC.","Garland, Texas",Front End Mobile Developer
783,PepsiCo,"Plano, Texas",Sr. Data Analytics Developer
784,Process Systems and Solutions,"Austin, Texas",Full Stack Web Developer
785,Worldwide Machinery,"Houston, Texas",Full-Stack developer C# and Javascript
786,Cinsay Inc.,"Dallas, Texas",Mobile Application Developer
787,"Phoenix Staff, Inc","Austin, Texas",Sr. Front-End Developer
788,CPS Energy,"San Antonio, Texas",Middleware Integration Developer
789,Lockheed Martin,"Grand Prairie, Texas","Software Developer / Java or C# / OOD / Energy Group / Grand Prairie, TX"
790,HomeAway.com,"Austin, Texas",Senior Big Data Developer
791,"Avacend, Inc.","Austin, Texas",Big Data Developer
792,TalentOptions,"Irving, Texas",Sr Developer Analyst - ETL
793,ECLARO INTERNATIONAL,"Houston, Texas",Core Java Developer
794,TransUnion,"Austin, Texas",.Net Developer
795,Sally Beauty,"Denton, Texas",Sr SQL Developer
796,Lucas Group,"Houston, Texas",Java Developer
797,"Technology Navigators, Inc.","Austin, Texas","Software Developer - Java, Android, Mobile"
798,Pegasus Knowledge Solutions,"Dallas, Texas",C# Developer
799,Continental Technology Solutions,"Plano, Texas",Android Developer
800,Atavas,"Houston, Texas",Web Software Developer
801,"HUNTER Technical Resources, LLC","Irving, Texas",K2BlackPearl Developer
802,Zigatta,"Dallas, Texas",React.js Developer
803,Hiring Ideas,"Dallas, Texas",Senior Developer (Mainframe Assembler)
804,ComCept,"Rockwall, Texas",Full Stack Web Developer
805,Chander Dhall,"Dallas, Texas","ReactJS Developer in Dallas, TX"
806,Pariveda Solutions,"Dallas, Texas",Application Developer
807,The Creative Group,"Irving, Texas",User Experience Developer
808,IntelliSoft Technologies,"Irving, Texas",Full Time Java Developer ( Multiple Locations in TX need locals only )
809,CDI Corporation,"Dallas, Texas",FP-A JG Application Developer(Experience Engineering.Back End) /PGN
810,Robert Half Technology,"Dallas, Texas",Silverlight Developer in North Dallas
811,Capgemini,"Irving, Texas",IRVING Campus Recruiting 2017 - SAP - Programmer/Developer
812,Jacobs,"Huntsville, Texas",Instructor/Training Developer
813,IBM,"Austin, Texas",Software Developer - Internship
814,Lanyon,"Dallas, Texas",Java Developer Team Lead
815,Sonsoft Inc,"Austin, Texas",Java Developer /Angular JS
816,Maxsys Solutions,"Garland, Texas",EDW Developer - Modeler/TSQL - Contract to Hire - W2
817,Rackspace,"San Antonio, Texas",Software Developer 2
818,Workbridge Associates,"Dallas, Texas",Node.js Developer- Senior
819,"ObjectWin Technology, Inc.","Houston, Texas",Functional Developer - FICO
820,shrikon,"Irving, Texas",No SQL Developer
821,R3PI,"Roanoke, Texas","Lead Middleware Developer (Node.js, Java)"
822,Capital One,"Plano, Texas",Mobile Developer
823,Genuent,"Cypress, Texas",Lead Automation Test Developer
824,Verizon,"Irving, Texas",Senior Full Stack Developer
825,TriNet,"Austin, Texas",Senior Reporting Developer
826,Tata Consultancy Services,"Dallas, Texas",UI Developer
827,CGI,"Belton, Texas",FSG - Junior Java Developer
828,Deloitte,"Dallas, Texas",Senior Configure Price Quote Developer - Senior Consultant
829,"TriQuest Business Services, LLC.","San Antonio, Texas",Sr. Systems Software Developer
830,The HT Group,"Austin, Texas",Senior Java Developer
831,JPMorgan Chase & Co.,"Houston, Texas",Java Applications Developer
832,Nigel Frank International,"Houston, Texas",Dynamics GP Senior Developer / Houston / $110K
833,Camden Kelly Corporation,"Dallas, Texas",Sr. ASP.Net Developer – Cutting-edge new development meets flextime
834,Texas A&M University,"College Station, Texas","Software Applications Developer - College Station, TX"
835,Booz Allen Hamilton,"San Antonio, Texas",Java / .NET Developer
836,projekt202,"Garland, Texas",Senior Java Developer
837,InMotion Software,"Austin, Texas",Senior Java Developer
838,Experis,"Spring, Texas",Tableau Developer-Houston
839,"Intersys Consulting, Inc.","Austin, Texas",Sr. Java Developer
840,eTouch Systems,"Houston, Texas",Sr. Qlikview Developer
841,Fiserv,"Sugar Land, Texas",COBOL Software Developer Senior
